Date : 2021-07-01 22:33:06
Directory : c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition
Total : 934 files,  77753 codes, 1774 comments, 18221 blanks, all 97748 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Properties         |         95 |     32,893 |         11 |      3,541 |     36,445 |
| GDScript           |        476 |     16,958 |        995 |      9,002 |     26,955 |
| JSON               |        114 |     13,099 |          9 |      1,257 |     14,365 |
| Markdown           |        215 |      8,411 |          0 |      2,397 |     10,808 |
| CSS                |          9 |      3,454 |         86 |        837 |      4,377 |
| HTML               |          7 |      1,324 |        193 |        475 |      1,992 |
| Rust               |          7 |        900 |          9 |        423 |      1,332 |
| JavaScript         |          4 |        515 |        131 |        215 |        861 |
| PHP                |          2 |         73 |         18 |         28 |        119 |
| JSON with Comments |          1 |         43 |        322 |         15 |        380 |
| YAML               |          1 |         42 |          0 |         13 |         55 |
| Shell Script       |          2 |         35 |          0 |         15 |         50 |
| Python             |          1 |          6 |          0 |          3 |          9 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                   |        934 |     77,753 |      1,774 |     18,221 |     97,748 |
| VSCodeSetup                                                                                                                                                                         |          3 |        109 |          9 |         71 |        189 |
| VSCodeSetup\Settings                                                                                                                                                                |          2 |         75 |          9 |         56 |        140 |
| Workspaces                                                                                                                                                                          |        860 |     74,587 |      1,443 |     17,176 |     93,206 |
| Workspaces\DevCLI                                                                                                                                                                   |          8 |        901 |          9 |        423 |      1,333 |
| Workspaces\DevCLI\Cargo                                                                                                                                                             |          7 |        900 |          9 |        423 |      1,332 |
| Workspaces\DevCLI\Cargo\src                                                                                                                                                         |          7 |        900 |          9 |        423 |      1,332 |
| Workspaces\DioJSONes                                                                                                                                                                |        111 |      6,702 |          1 |      1,897 |      8,600 |
| Workspaces\DioJSONes\Media                                                                                                                                                          |         16 |        133 |          0 |         34 |        167 |
| Workspaces\DioJSONes\Media\presets                                                                                                                                                  |         14 |        120 |          0 |         29 |        149 |
| Workspaces\DioJSONes\Media\presets\EffectButton                                                                                                                                     |          2 |         24 |          0 |          4 |         28 |
| Workspaces\DioJSONes\Media\presets\debugPanel                                                                                                                                       |          3 |         24 |          0 |          6 |         30 |
| Workspaces\DioJSONes\Src                                                                                                                                                            |         80 |      5,399 |          1 |      1,651 |      7,051 |
| Workspaces\DioJSONes\Src\Backend                                                                                                                                                    |         11 |        287 |          0 |        188 |        475 |
| Workspaces\DioJSONes\Src\Backend\DataStructures                                                                                                                                     |          5 |         79 |          0 |         50 |        129 |
| Workspaces\DioJSONes\Src\Backend\DataStructures\PanelAttributes                                                                                                                     |          3 |         24 |          0 |         19 |         43 |
| Workspaces\DioJSONes\Src\Backend\Parser                                                                                                                                             |          4 |        106 |          0 |         66 |        172 |
| Workspaces\DioJSONes\Src\Backend\Parser\Dynamic SubParser                                                                                                                           |          2 |         15 |          0 |          8 |         23 |
| Workspaces\DioJSONes\Src\Backend\Validator                                                                                                                                          |          2 |        102 |          0 |         72 |        174 |
| Workspaces\DioJSONes\Src\Frontend                                                                                                                                                   |         58 |      4,603 |          1 |      1,258 |      5,862 |
| Workspaces\DioJSONes\Src\Frontend\content creation                                                                                                                                  |         56 |      4,309 |          1 |      1,210 |      5,520 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Dynamic Generator                                                                                                                |          2 |         77 |          0 |         58 |        135 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Forms                                                                                                                            |         19 |      2,945 |          1 |        637 |      3,583 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Actors                                                                                                                     |          2 |        175 |          0 |         47 |        222 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Effect                                                                                                                     |         11 |      1,786 |          0 |        384 |      2,170 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Effect\SlotUnits                                                                                                           |          3 |        112 |          0 |         77 |        189 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Gear                                                                                                                       |          2 |        172 |          0 |         42 |        214 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Gear\Items                                                                                                                 |          2 |        172 |          0 |         42 |        214 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Kit                                                                                                                        |          3 |        806 |          1 |        157 |        964 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Input                                                                                                                            |         31 |      1,006 |          0 |        438 |      1,444 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal                                                                                                     |         27 |        876 |          0 |        358 |      1,234 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\COMPONENT                                                                                           |          3 |        103 |          0 |         43 |        146 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\Comparator                                                                                          |          3 |        103 |          0 |         43 |        146 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\Condition                                                                                           |          4 |        138 |          0 |         47 |        185 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\Morphbox                                                                                            |          2 |         58 |          0 |         33 |         91 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\Panel                                                                                               |          1 |         12 |          0 |         10 |         22 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\RTL                                                                                                 |          2 |         85 |          0 |         35 |        120 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\Slider                                                                                              |          3 |         54 |          0 |         18 |         72 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\Texture                                                                                             |          4 |        135 |          0 |         55 |        190 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\dictionary                                                                                          |          4 |        162 |          0 |         69 |        231 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\is door                                                                                             |          1 |         26 |          0 |          5 |         31 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Input\Inputmodules effect                                                                                                        |          4 |        130 |          0 |         80 |        210 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Input\Inputmodules effect\MorphBox                                                                                               |          2 |         66 |          0 |         53 |        119 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Input\Inputmodules effect\TextRTL                                                                                                |          2 |         64 |          0 |         27 |         91 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Rows                                                                                                                             |          4 |        281 |          0 |         77 |        358 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Rows\Button                                                                                                                      |          1 |         72 |          0 |         12 |         84 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Rows\Optionbox                                                                                                                   |          2 |        131 |          0 |         53 |        184 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Rows\Text                                                                                                                        |          1 |         78 |          0 |         12 |         90 |
| Workspaces\DioJSONes\Src\Frontend\content management                                                                                                                                |          2 |        294 |          0 |         48 |        342 |
| Workspaces\DioJSONes\Src\Frontend\content management\Browse                                                                                                                         |          2 |        294 |          0 |         48 |        342 |
| Workspaces\DioJSONes\Src\Single Scripts                                                                                                                                             |          4 |        172 |          0 |         97 |        269 |
| Workspaces\DioJSONes\Src\Util                                                                                                                                                       |          4 |         93 |          0 |         57 |        150 |
| Workspaces\DioJSONes\config                                                                                                                                                         |         12 |        988 |          0 |        195 |      1,183 |
| Workspaces\DioJSONes\config\Forms                                                                                                                                                   |          7 |        163 |          0 |         89 |        252 |
| Workspaces\DioJSONes\mongoDB                                                                                                                                                        |          1 |          6 |          0 |          3 |          9 |
| Workspaces\GameData                                                                                                                                                                 |         30 |        986 |          0 |        347 |      1,333 |
| Workspaces\GameData\Personal                                                                                                                                                        |          2 |         67 |          0 |          2 |         69 |
| Workspaces\GameData\Stable                                                                                                                                                          |         28 |        919 |          0 |        345 |      1,264 |
| Workspaces\GameData\Stable\Actor_Attributes                                                                                                                                         |         16 |        377 |          0 |        125 |        502 |
| Workspaces\GameData\Stable\Actor_Attributes\Races                                                                                                                                   |          5 |        112 |          0 |         40 |        152 |
| Workspaces\GameData\Stable\Actor_Attributes\Roles                                                                                                                                   |          6 |        150 |          0 |         45 |        195 |
| Workspaces\GameData\Stable\Actor_Attributes\Specialties                                                                                                                             |          5 |        115 |          0 |         40 |        155 |
| Workspaces\GameData\Stable\Gear                                                                                                                                                     |          1 |         89 |          0 |         28 |        117 |
| Workspaces\GameData\Stable\Gear\Loot_Tables                                                                                                                                         |          1 |         89 |          0 |         28 |        117 |
| Workspaces\GameData\Stable\Kits                                                                                                                                                     |         11 |        453 |          0 |        192 |        645 |
| Workspaces\GameData\Stable\Kits\Magic                                                                                                                                               |          4 |        174 |          0 |         81 |        255 |
| Workspaces\GameData\Stable\Kits\Magic\Infusion                                                                                                                                      |          1 |         45 |          0 |         20 |         65 |
| Workspaces\GameData\Stable\Kits\Magic\Infusion\Base                                                                                                                                 |          1 |         45 |          0 |         20 |         65 |
| Workspaces\GameData\Stable\Kits\Magic\Spell                                                                                                                                         |          3 |        129 |          0 |         61 |        190 |
| Workspaces\GameData\Stable\Kits\Magic\Spell\Base                                                                                                                                    |          3 |        129 |          0 |         61 |        190 |
| Workspaces\GameData\Stable\Kits\Matrix                                                                                                                                              |          6 |        235 |          0 |         92 |        327 |
| Workspaces\GameData\Stable\Kits\Matrix\Cyberware                                                                                                                                    |          2 |         88 |          0 |         22 |        110 |
| Workspaces\GameData\Stable\Kits\Matrix\Cyberware\Base                                                                                                                               |          2 |         88 |          0 |         22 |        110 |
| Workspaces\GameData\Stable\Kits\Matrix\Hack                                                                                                                                         |          4 |        147 |          0 |         70 |        217 |
| Workspaces\GameData\Stable\Kits\Matrix\Hack\Base                                                                                                                                    |          3 |        119 |          0 |         64 |        183 |
