Date : 2021-05-23 23:28:43
Directory : c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition
Total : 694 files,  66876 codes, 1726 comments, 14223 blanks, all 82825 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Properties         |         95 |     25,240 |         10 |      2,881 |     28,131 |
| GDScript           |        395 |     14,717 |        927 |      7,008 |     22,652 |
| JSON               |        103 |     11,979 |          9 |      1,007 |     12,995 |
| Markdown           |         67 |      8,564 |          0 |      1,313 |      9,877 |
| CSS                |          9 |      3,454 |         86 |        837 |      4,377 |
| HTML               |          7 |      1,324 |        193 |        475 |      1,992 |
| Rust               |          7 |        886 |          9 |        416 |      1,311 |
| JavaScript         |          4 |        515 |        131 |        215 |        861 |
| PHP                |          2 |         73 |         18 |         28 |        119 |
| YAML               |          1 |         42 |          0 |         13 |         55 |
| JSON with Comments |          1 |         41 |        343 |         12 |        396 |
| Shell Script       |          2 |         35 |          0 |         15 |         50 |
| Python             |          1 |          6 |          0 |          3 |          9 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                 |        694 |     66,876 |      1,726 |     14,223 |     82,825 |
| VSCodeSetup                                                                                                                                                                       |          3 |        109 |          9 |         71 |        189 |
| VSCodeSetup\Settings                                                                                                                                                              |          2 |         75 |          9 |         56 |        140 |
| Workspaces                                                                                                                                                                        |        622 |     57,543 |      1,374 |     12,752 |     71,669 |
| Workspaces\DevCLI                                                                                                                                                                 |          8 |        887 |          9 |        416 |      1,312 |
| Workspaces\DevCLI\Cargo                                                                                                                                                           |          7 |        886 |          9 |        416 |      1,311 |
| Workspaces\DevCLI\Cargo\src                                                                                                                                                       |          7 |        886 |          9 |        416 |      1,311 |
| Workspaces\DioJSONes                                                                                                                                                              |         77 |      4,742 |          3 |      1,316 |      6,061 |
| Workspaces\DioJSONes\Media                                                                                                                                                        |         15 |        125 |          0 |         32 |        157 |
| Workspaces\DioJSONes\Media\presets                                                                                                                                                |         13 |        112 |          0 |         27 |        139 |
| Workspaces\DioJSONes\Media\presets\EffectButton                                                                                                                                   |          2 |         24 |          0 |          4 |         28 |
| Workspaces\DioJSONes\Media\presets\debugPanel                                                                                                                                     |          3 |         24 |          0 |          6 |         30 |
| Workspaces\DioJSONes\Src                                                                                                                                                          |         52 |      3,755 |          3 |      1,149 |      4,907 |
| Workspaces\DioJSONes\Src\Browse                                                                                                                                                   |          1 |        280 |          0 |         39 |        319 |
| Workspaces\DioJSONes\Src\DataStructures                                                                                                                                           |          3 |         68 |          0 |         41 |        109 |
| Workspaces\DioJSONes\Src\Forms                                                                                                                                                    |         33 |      2,820 |          2 |        758 |      3,580 |
| Workspaces\DioJSONes\Src\Forms\Dynamic Form Generator                                                                                                                             |          3 |         81 |          0 |         55 |        136 |
| Workspaces\DioJSONes\Src\Forms\Input                                                                                                                                              |         16 |        631 |          0 |        244 |        875 |
| Workspaces\DioJSONes\Src\Forms\Input\Custome                                                                                                                                      |          3 |         87 |          0 |         27 |        114 |
| Workspaces\DioJSONes\Src\Forms\Input\Custome\dictionary                                                                                                                           |          3 |         87 |          0 |         27 |        114 |
| Workspaces\DioJSONes\Src\Forms\Input\Effect                                                                                                                                       |          3 |        106 |          0 |         59 |        165 |
| Workspaces\DioJSONes\Src\Forms\Input\Effect\MorphBox                                                                                                                              |          1 |         49 |          0 |         29 |         78 |
| Workspaces\DioJSONes\Src\Forms\Input\Effect\TextRTL                                                                                                                               |          2 |         57 |          0 |         30 |         87 |
| Workspaces\DioJSONes\Src\Forms\Input\General Rows                                                                                                                                 |          4 |        263 |          0 |         74 |        337 |
| Workspaces\DioJSONes\Src\Forms\Input\General Rows\Button                                                                                                                          |          1 |         71 |          0 |         12 |         83 |
| Workspaces\DioJSONes\Src\Forms\Input\General Rows\Optionbox                                                                                                                       |          2 |        114 |          0 |         50 |        164 |
| Workspaces\DioJSONes\Src\Forms\Input\General Rows\Text                                                                                                                            |          1 |         78 |          0 |         12 |         90 |
| Workspaces\DioJSONes\Src\Forms\Input\Universal                                                                                                                                    |          6 |        175 |          0 |         84 |        259 |
| Workspaces\DioJSONes\Src\Forms\Input\Universal\Morphbox                                                                                                                           |          2 |         60 |          0 |         29 |         89 |
| Workspaces\DioJSONes\Src\Forms\Input\Universal\Panel                                                                                                                              |          1 |         13 |          0 |         10 |         23 |
| Workspaces\DioJSONes\Src\Forms\Input\Universal\RTL                                                                                                                                |          1 |         55 |          0 |         31 |         86 |
| Workspaces\DioJSONes\Src\Forms\Input\Universal\Slider                                                                                                                             |          2 |         47 |          0 |         14 |         61 |
| Workspaces\DioJSONes\Src\Forms\Types                                                                                                                                              |         14 |      2,108 |          2 |        459 |      2,569 |
| Workspaces\DioJSONes\Src\Forms\Types\Actors                                                                                                                                       |          2 |        178 |          0 |         44 |        222 |
| Workspaces\DioJSONes\Src\Forms\Types\Effect                                                                                                                                       |          7 |        918 |          1 |        207 |      1,126 |
| Workspaces\DioJSONes\Src\Forms\Types\Effect\SlotUnits                                                                                                                             |          3 |        114 |          1 |         79 |        194 |
| Workspaces\DioJSONes\Src\Forms\Types\Gear                                                                                                                                         |          2 |        172 |          0 |         39 |        211 |
| Workspaces\DioJSONes\Src\Forms\Types\Gear\Items                                                                                                                                   |          2 |        172 |          0 |         39 |        211 |
| Workspaces\DioJSONes\Src\Forms\Types\Kit                                                                                                                                          |          3 |        840 |          1 |        169 |      1,010 |
| Workspaces\DioJSONes\Src\Parser                                                                                                                                                   |          4 |        100 |          1 |         70 |        171 |
| Workspaces\DioJSONes\Src\Single Scripts                                                                                                                                           |          5 |        181 |          0 |        145 |        326 |
| Workspaces\DioJSONes\Src\Util                                                                                                                                                     |          3 |         56 |          0 |         40 |         96 |
| Workspaces\DioJSONes\config                                                                                                                                                       |          5 |        715 |          0 |        118 |        833 |
| Workspaces\DioJSONes\mongoDB                                                                                                                                                      |          1 |          6 |          0 |          3 |          9 |
