Date : 2021-05-23 23:28:43
Directory : c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition
Total : 694 files,  66876 codes, 1726 comments, 14223 blanks, all 82825 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| Workspaces\PatnicRoom\Src\scenes\Gameloop\RestMode\Self\Inventory\Subscene                                                                                                        |          8 |      5,781 |          0 |        714 |      6,495 |
| Workspaces\PatnicRoom\Src\scenes\Gameloop\RestMode\Self\Rootnet                                                                                                                   |          1 |         47 |          0 |         11 |         58 |
| Workspaces\PatnicRoom\Src\scenes\Gameloop\RestMode\Stations                                                                                                                       |         11 |      1,603 |          0 |        317 |      1,920 |
| Workspaces\PatnicRoom\Src\scenes\Gameloop\RestMode\Stations\KitAppend                                                                                                             |          2 |        506 |          0 |         82 |        588 |
| Workspaces\PatnicRoom\Src\scenes\Gameloop\RestMode\Stations\KitBase                                                                                                               |          4 |        943 |          0 |        169 |      1,112 |
| Workspaces\PatnicRoom\Src\scenes\Templates                                                                                                                                        |         13 |        646 |          0 |        206 |        852 |
| Workspaces\PatnicRoom\Src\scenes\Templates\GUI                                                                                                                                    |         13 |        646 |          0 |        206 |        852 |
| Workspaces\PatnicRoom\Src\scenes\Templates\GUI\Checkbox                                                                                                                           |          3 |        105 |          0 |         35 |        140 |
| Workspaces\PatnicRoom\Src\scenes\Templates\GUI\Flatbox Style                                                                                                                      |          1 |         18 |          0 |         11 |         29 |
| Workspaces\PatnicRoom\Src\scenes\Templates\GUI\Look at Panel                                                                                                                      |          2 |        287 |          0 |         54 |        341 |
| Workspaces\PatnicRoom\Src\scenes\Templates\GUI\Panel                                                                                                                              |          1 |         27 |          0 |         13 |         40 |
| Workspaces\PatnicRoom\Src\scenes\Templates\GUI\ProgressionBar                                                                                                                     |          3 |        140 |          0 |         41 |        181 |
| Workspaces\PatnicRoom\Src\scenes\Templates\GUI\Textfield input                                                                                                                    |          3 |         69 |          0 |         52 |        121 |
| Workspaces\PatnicRoom\Src\scenes\Templates\GUI\Textfield input\Injectables                                                                                                        |          1 |         11 |          0 |          5 |         16 |
| Workspaces\PatnicRoom\Src\scenes\Unique                                                                                                                                           |         25 |      2,868 |         11 |        608 |      3,487 |
| Workspaces\PatnicRoom\Src\scenes\Unique\Enter Restmode Popup                                                                                                                      |          5 |        306 |          0 |         59 |        365 |
| Workspaces\PatnicRoom\Src\scenes\Unique\Enter Restmode Popup\enterRestmode                                                                                                        |          4 |        115 |          0 |         29 |        144 |
| Workspaces\PatnicRoom\Src\scenes\Unique\Titlescreen                                                                                                                               |         20 |      2,562 |         11 |        549 |      3,122 |
| Workspaces\PatnicRoom\Src\scenes\Unique\Titlescreen\SubScene                                                                                                                      |         12 |      2,205 |         10 |        421 |      2,636 |
| Workspaces\PatnicRoom\Src\scenes\Unique\Titlescreen\SubScene\create new game                                                                                                      |          7 |      1,467 |         10 |        287 |      1,764 |
| Workspaces\PatnicRoom\Src\scenes\Unique\Titlescreen\scripts                                                                                                                       |          4 |        146 |          1 |         50 |        197 |
| Workspaces\PatnicRoom\addons                                                                                                                                                      |         48 |      7,147 |        556 |      1,543 |      9,246 |
| Workspaces\PatnicRoom\addons\gs_logger                                                                                                                                            |         11 |        389 |         33 |        137 |        559 |
| Workspaces\PatnicRoom\addons\gs_logger\appenders                                                                                                                                  |          2 |         35 |          0 |         19 |         54 |
| Workspaces\PatnicRoom\addons\gs_logger\layouts                                                                                                                                    |          2 |         61 |         22 |         22 |        105 |
| Workspaces\PatnicRoom\addons\gut                                                                                                                                                  |         35 |      6,732 |        523 |      1,398 |      8,653 |
| Workspaces\PatnicRoom\addons\mono_debugger                                                                                                                                        |          2 |         26 |          0 |          8 |         34 |
| Workspaces\PatnicRoom\config                                                                                                                                                      |          6 |        230 |          0 |        103 |        333 |
| Workspaces\PatnicRoom\config\Savestate                                                                                                                                            |          4 |        219 |          0 |         97 |        316 |
| Workspaces\PatnicRoom\config\Savestate\One                                                                                                                                        |          4 |        219 |          0 |         97 |        316 |
| Workspaces\PatnicRoom\config\Savestate\One\Runner                                                                                                                                 |          4 |        219 |          0 |         97 |        316 |
| Workspaces\PatnicRoom\config\Savestate\One\Runner\generated                                                                                                                       |          2 |        125 |          0 |         52 |        177 |
| Workspaces\PatnicRoom\test                                                                                                                                                        |          2 |         16 |          0 |          3 |         19 |
| Workspaces\PatnicRoom\tools                                                                                                                                                       |         12 |        322 |          1 |        254 |        577 |
| Workspaces\PatnicRoom\tools\RuntimeConfigs                                                                                                                                        |          4 |         77 |          0 |         22 |         99 |
| Workspaces\PatnicRoom\tools\RuntimeConfigs\Custome_NPC                                                                                                                            |          1 |         27 |          0 |          3 |         30 |
| Workspaces\PatnicRoom\tools\RuntimeConfigs\Text-inserts                                                                                                                           |          1 |         19 |          0 |          5 |         24 |
| Workspaces\PatnicRoom\tools\Statistics                                                                                                                                            |          8 |        245 |          1 |        232 |        478 |
| Workspaces\PatnicRoom\tools\Statistics\JSON                                                                                                                                       |          2 |         95 |          1 |         83 |        179 |
| Workspaces\PatnicRoom\tools\Statistics\MD                                                                                                                                         |          5 |        124 |          0 |        129 |        253 |
| Workspaces\Webside                                                                                                                                                                |         22 |      5,366 |        428 |      1,555 |      7,349 |
| Workspaces\Webside\assets                                                                                                                                                         |          9 |      3,454 |         86 |        837 |      4,377 |
| Workspaces\Webside\assets\css                                                                                                                                                     |          9 |      3,454 |         86 |        837 |      4,377 |
| Workspaces\Webside\src                                                                                                                                                            |          6 |        588 |        149 |        243 |        980 |
| Workspaces\Webside\src\forms                                                                                                                                                      |          1 |         18 |         16 |          8 |         42 |
| Workspaces\Webside\src\js                                                                                                                                                         |          4 |        515 |        131 |        215 |        861 |
| docs                                                                                                                                                                              |         65 |      9,137 |          0 |      1,368 |     10,505 |
| docs\docs                                                                                                                                                                         |         64 |      9,095 |          0 |      1,355 |     10,450 |
| docs\docs\Atlas                                                                                                                                                                   |         11 |      7,333 |          0 |        746 |      8,079 |
| docs\docs\Cogsmos                                                                                                                                                                 |          8 |        947 |          0 |        220 |      1,167 |
| docs\docs\Conventions                                                                                                                                                             |          4 |        117 |          0 |         43 |        160 |
| docs\docs\Core                                                                                                                                                                    |          2 |          0 |          0 |          2 |          2 |
| docs\docs\Entities                                                                                                                                                                |         10 |        307 |          0 |        121 |        428 |
| docs\docs\Modules                                                                                                                                                                 |         16 |        201 |          0 |        130 |        331 |
| docs\docs\Syntax                                                                                                                                                                  |          3 |        100 |          0 |         33 |        133 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                                          | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\CHANGELOG.md                                                                                                        | Markdown           |          0 |          0 |          1 |          1 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\README.md                                                                                                           | Markdown           |         13 |          0 |          2 |         15 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\VSCode Snippets.json                                                                                                | JSON               |         33 |          0 |         17 |         50 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\VSCodeSetup\Settings\keybindings.json                                                                               | JSON               |         54 |          9 |         38 |        101 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\VSCodeSetup\Settings\settings.json                                                                                  | JSON               |         21 |          0 |         18 |         39 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\VSCodeSetup\setupCustomeSettings.sh                                                                                 | Shell Script       |         34 |          0 |         15 |         49 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DevCLI\Cargo\src\backup_menue.rs                                                                         | Rust               |        119 |          0 |         64 |        183 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DevCLI\Cargo\src\distributer_menue.rs                                                                    | Rust               |        313 |          6 |        149 |        468 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DevCLI\Cargo\src\main.rs                                                                                 | Rust               |        114 |          1 |         55 |        170 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DevCLI\Cargo\src\main_menue_printer.rs                                                                   | Rust               |         37 |          0 |         22 |         59 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DevCLI\Cargo\src\mongoDB_menue.rs                                                                        | Rust               |        103 |          0 |         38 |        141 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DevCLI\Cargo\src\synchronicer_menue.rs                                                                   | Rust               |        123 |          0 |         64 |        187 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DevCLI\Cargo\src\terminal_formatter.rs                                                                   | Rust               |         77 |          2 |         24 |        103 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DevCLI\startPatnicRoom.sh                                                                                | Shell Script       |          1 |          0 |          0 |          1 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Bootstrap.json                                                                                 | JSON               |          5 |          0 |          3 |          8 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\new_dynamicfont.tres                                                                     | Properties         |          5 |          0 |          3 |          8 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\options.tres                                                                             | Properties         |          8 |          0 |          2 |         10 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\presets\EffectButton\Condition.tres                                                      | Properties         |         12 |          0 |          2 |         14 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\presets\EffectButton\Statmod.tres                                                        | Properties         |         12 |          0 |          2 |         14 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\presets\IntegerInput.tres                                                                | Properties         |          7 |          0 |          2 |          9 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\presets\StringInput.tres                                                                 | Properties         |          7 |          0 |          2 |          9 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\presets\alert.tres                                                                       | Properties         |          8 |          0 |          2 |         10 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\presets\backToMainManueButton.tres                                                       | Properties         |         12 |          0 |          2 |         14 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\presets\debugPanel\green.tres                                                            | Properties         |          8 |          0 |          2 |         10 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\presets\debugPanel\red.tres                                                              | Properties         |          8 |          0 |          2 |         10 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\presets\debugPanel\yellow.tres                                                           | Properties         |          8 |          0 |          2 |         10 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\presets\defualtEffectnput.tres                                                           | Properties         |          8 |          0 |          2 |         10 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\presets\formEffectDefualt.tres                                                           | Properties         |          6 |          0 |          3 |          9 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\presets\highlightedEffectInput.tres                                                      | Properties         |          8 |          0 |          2 |         10 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\presets\highlightedFormInput.tres                                                        | Properties         |          8 |          0 |          2 |         10 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Bootstrap.gd                                                                               | GDScript           |         14 |          0 |         13 |         27 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Browse\Browse.tscn                                                                         | Properties         |        280 |          0 |         39 |        319 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\DataStructures\EffectCache.gd                                                              | GDScript           |         15 |          0 |          8 |         23 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\DataStructures\PanelAttributes.gd                                                          | GDScript           |         36 |          0 |         21 |         57 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\DataStructures\Validator.gd                                                                | GDScript           |         17 |          0 |         12 |         29 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Dynamic Form Generator\FormFiller.gd                                                 | GDScript           |         44 |          0 |         22 |         66 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Dynamic Form Generator\FormLayouter.gd                                               | GDScript           |         29 |          0 |         26 |         55 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Dynamic Form Generator\ParentForm.gd                                                 | GDScript           |          8 |          0 |          7 |         15 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Input\Custome\dictionary\Dictionary.gd                                               | GDScript           |          6 |          0 |         10 |         16 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Input\Custome\dictionary\Dictionary.tscn                                             | Properties         |         33 |          0 |          8 |         41 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Input\Custome\dictionary\entry.tscn                                                  | Properties         |         48 |          0 |          9 |         57 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Input\Effect\MorphBox\EffectMorphBoxScript.gd                                        | GDScript           |         49 |          0 |         29 |         78 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Input\Effect\TextRTL\EffectRTLScript.gd                                              | GDScript           |         31 |          0 |         23 |         54 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Input\Effect\TextRTL\RTLScene.tscn                                                   | Properties         |         26 |          0 |          7 |         33 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Input\General Rows\Button\Button.tscn                                                | Properties         |         71 |          0 |         12 |         83 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Input\General Rows\Optionbox\RowBoxScene.tscn                                        | Properties         |         89 |          0 |         21 |        110 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Input\General Rows\Optionbox\button.gd                                               | GDScript           |         25 |          0 |         29 |         54 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Input\General Rows\Text\RowTextScene.tscn                                            | Properties         |         78 |          0 |         12 |         90 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Input\Universal\Morphbox\universalMorphbox.gd                                        | GDScript           |         34 |          0 |         24 |         58 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Input\Universal\Morphbox\universalMorphboxScript.tscn                                | Properties         |         26 |          0 |          5 |         31 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Input\Universal\Panel\PanelInputHandler.gd                                           | GDScript           |         13 |          0 |         10 |         23 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Input\Universal\RTL\inputComponentRTL.gd                                             | GDScript           |         55 |          0 |         31 |         86 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Input\Universal\Slider\sliderScene.tscn                                              | Properties         |         42 |          0 |         10 |         52 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Input\Universal\Slider\sliderSkript.gd                                               | GDScript           |          5 |          0 |          4 |          9 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Types\Actors\Form.gd                                                                 | GDScript           |          7 |          0 |         19 |         26 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Types\Actors\Form.tscn                                                               | Properties         |        171 |          0 |         25 |        196 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Types\Effect\EffectButton.gd                                                         | GDScript           |         30 |          0 |         28 |         58 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Types\Effect\Form.tscn                                                               | Properties         |        268 |          0 |         34 |        302 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Types\Effect\SlotScene.tscn                                                          | Properties         |        487 |          0 |         51 |        538 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Types\Effect\SlotUnits\Effect.gd                                                     | GDScript           |         37 |          0 |         24 |         61 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Types\Effect\SlotUnits\Space.gd                                                      | GDScript           |         31 |          0 |         22 |         53 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Types\Effect\SlotUnits\Trigger.gd                                                    | GDScript           |         46 |          1 |         33 |         80 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Types\Effect\timeslotsManager.gd                                                     | GDScript           |         19 |          0 |         15 |         34 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Types\Gear\Items\Form.gd                                                             | GDScript           |          1 |          0 |         11 |         12 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Types\Gear\Items\Form.tscn                                                           | Properties         |        171 |          0 |         28 |        199 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Types\Kit\Form.gd                                                                    | GDScript           |         46 |          0 |         28 |         74 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Types\Kit\Form.tscn                                                                  | Properties         |        785 |          0 |        134 |        919 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Forms\Types\Kit\choose kit to mod panel.gd                                                 | GDScript           |          9 |          1 |          7 |         17 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Main.tscn                                                                                  | Properties         |        219 |          0 |         26 |        245 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\MainMenu.gd                                                                                | GDScript           |         17 |          0 |         17 |         34 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Parser\ActorAttributes.gd                                                                  | GDScript           |         10 |          1 |          7 |         18 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Parser\Generall.gd                                                                         | GDScript           |          5 |          0 |          4 |          9 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Parser\Hub.gd                                                                              | GDScript           |         34 |          0 |         31 |         65 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Parser\Kit.gd                                                                              | GDScript           |         51 |          0 |         28 |         79 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Single Scripts\Caching.gd                                                                  | GDScript           |         41 |          0 |         48 |         89 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Single Scripts\CheckUp.gd                                                                  | GDScript           |         48 |          0 |         30 |         78 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Single Scripts\ENUM.gd                                                                     | GDScript           |         11 |          0 |          7 |         18 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Single Scripts\Syntax.gd                                                                   | GDScript           |         52 |          0 |         29 |         81 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Single Scripts\Util.gd                                                                     | GDScript           |         29 |          0 |         31 |         60 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Util\DataTypeHandler.gd                                                                    | GDScript           |         33 |          0 |         15 |         48 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Util\Filehandler.gd                                                                        | GDScript           |         15 |          0 |         11 |         26 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Util\InputHandler.gd                                                                       | GDScript           |          8 |          0 |         14 |         22 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\config\ModulesReference.json                                                                   | JSON               |          6 |          0 |          5 |         11 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\config\SyntaxAtlas.json                                                                        | JSON               |         31 |          0 |         17 |         48 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\config\SyntaxIndex.json                                                                        | JSON               |         48 |          0 |         23 |         71 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\config\components.json                                                                         | JSON               |        559 |          0 |         53 |        612 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\config\forms.json                                                                              | JSON               |         71 |          0 |         20 |         91 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\foobar.json                                                                                    | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\mongoDB\test.py                                                                                | Python             |          6 |          0 |          3 |          9 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\personal generated content\3.json                                                              | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\project.godot                                                                                  | Properties         |        134 |          0 |         11 |        145 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Personal\1.json                                                                                 | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Personal\2.json                                                                                 | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Personal\3.json                                                                                 | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Personal\Bf hbf .json                                                                           | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Personal\T.json                                                                                 | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Races\Dwarf.json                                                        | JSON               |         23 |          0 |          8 |         31 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Races\Elf.json                                                          | JSON               |         23 |          0 |          8 |         31 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Races\Human.json                                                        | JSON               |         22 |          0 |          8 |         30 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Races\Orc.json                                                          | JSON               |         22 |          0 |          8 |         30 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Races\Troll.json                                                        | JSON               |         22 |          0 |          8 |         30 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Roles\Arsenist_1.json                                                   | JSON               |         25 |          0 |          8 |         33 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Roles\Brawler_1.json                                                    | JSON               |         25 |          0 |          7 |         32 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Roles\Gunslinger_1.json                                                 | JSON               |         25 |          0 |          8 |         33 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Roles\Hacker_1.json                                                     | JSON               |         25 |          0 |          7 |         32 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Roles\Infobroker_1.json                                                 | JSON               |         25 |          0 |          8 |         33 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Roles\Spellcaster_1.json                                                | JSON               |         25 |          0 |          7 |         32 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Specialties\Drug dealer.json                                            | JSON               |         23 |          0 |          8 |         31 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Specialties\bottle collector.json                                       | JSON               |         23 |          0 |          8 |         31 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Specialties\esoteric conartist.json                                     | JSON               |         23 |          0 |          8 |         31 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Specialties\fecal analycer.json                                         | JSON               |         23 |          0 |          8 |         31 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Specialties\freelancer hobo.json                                        | JSON               |         23 |          0 |          8 |         31 |
