Date : 2021-05-26 08:08:11
Directory : c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition
Total : 707 files,  67319 codes, 1708 comments, 14390 blanks, all 83417 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| Workspaces\PatnicRoom\Src\scenes\Unique\Titlescreen\SubScene\create new game                                                                                                        |          7 |      1,467 |         10 |        287 |      1,764 |
| Workspaces\PatnicRoom\Src\scenes\Unique\Titlescreen\scripts                                                                                                                         |          4 |        146 |          1 |         50 |        197 |
| Workspaces\PatnicRoom\addons                                                                                                                                                        |         48 |      7,147 |        556 |      1,543 |      9,246 |
| Workspaces\PatnicRoom\addons\gs_logger                                                                                                                                              |         11 |        389 |         33 |        137 |        559 |
| Workspaces\PatnicRoom\addons\gs_logger\appenders                                                                                                                                    |          2 |         35 |          0 |         19 |         54 |
| Workspaces\PatnicRoom\addons\gs_logger\layouts                                                                                                                                      |          2 |         61 |         22 |         22 |        105 |
| Workspaces\PatnicRoom\addons\gut                                                                                                                                                    |         35 |      6,732 |        523 |      1,398 |      8,653 |
| Workspaces\PatnicRoom\addons\mono_debugger                                                                                                                                          |          2 |         26 |          0 |          8 |         34 |
| Workspaces\PatnicRoom\config                                                                                                                                                        |          6 |        230 |          0 |        103 |        333 |
| Workspaces\PatnicRoom\config\Savestate                                                                                                                                              |          4 |        219 |          0 |         97 |        316 |
| Workspaces\PatnicRoom\config\Savestate\One                                                                                                                                          |          4 |        219 |          0 |         97 |        316 |
| Workspaces\PatnicRoom\config\Savestate\One\Runner                                                                                                                                   |          4 |        219 |          0 |         97 |        316 |
| Workspaces\PatnicRoom\config\Savestate\One\Runner\generated                                                                                                                         |          2 |        125 |          0 |         52 |        177 |
| Workspaces\PatnicRoom\test                                                                                                                                                          |          2 |         16 |          0 |          3 |         19 |
| Workspaces\PatnicRoom\tools                                                                                                                                                         |         12 |        322 |          1 |        254 |        577 |
| Workspaces\PatnicRoom\tools\RuntimeConfigs                                                                                                                                          |          4 |         77 |          0 |         22 |         99 |
| Workspaces\PatnicRoom\tools\RuntimeConfigs\Custome_NPC                                                                                                                              |          1 |         27 |          0 |          3 |         30 |
| Workspaces\PatnicRoom\tools\RuntimeConfigs\Text-inserts                                                                                                                             |          1 |         19 |          0 |          5 |         24 |
| Workspaces\PatnicRoom\tools\Statistics                                                                                                                                              |          8 |        245 |          1 |        232 |        478 |
| Workspaces\PatnicRoom\tools\Statistics\JSON                                                                                                                                         |          2 |         95 |          1 |         83 |        179 |
| Workspaces\PatnicRoom\tools\Statistics\MD                                                                                                                                           |          5 |        124 |          0 |        129 |        253 |
| Workspaces\Webside                                                                                                                                                                  |         22 |      5,366 |        428 |      1,555 |      7,349 |
| Workspaces\Webside\assets                                                                                                                                                           |          9 |      3,454 |         86 |        837 |      4,377 |
| Workspaces\Webside\assets\css                                                                                                                                                       |          9 |      3,454 |         86 |        837 |      4,377 |
| Workspaces\Webside\src                                                                                                                                                              |          6 |        588 |        149 |        243 |        980 |
| Workspaces\Webside\src\forms                                                                                                                                                        |          1 |         18 |         16 |          8 |         42 |
| Workspaces\Webside\src\js                                                                                                                                                           |          4 |        515 |        131 |        215 |        861 |
| docs                                                                                                                                                                                |         65 |      9,108 |          0 |      1,365 |     10,473 |
| docs\docs                                                                                                                                                                           |         64 |      9,066 |          0 |      1,352 |     10,418 |
| docs\docs\Atlas                                                                                                                                                                     |         11 |      7,304 |          0 |        743 |      8,047 |
| docs\docs\Cogsmos                                                                                                                                                                   |          8 |        947 |          0 |        220 |      1,167 |
| docs\docs\Conventions                                                                                                                                                               |          4 |        117 |          0 |         43 |        160 |
| docs\docs\Core                                                                                                                                                                      |          2 |          0 |          0 |          2 |          2 |
| docs\docs\Entities                                                                                                                                                                  |         10 |        307 |          0 |        121 |        428 |
| docs\docs\Modules                                                                                                                                                                   |         16 |        201 |          0 |        130 |        331 |
| docs\docs\Syntax                                                                                                                                                                    |          3 |        100 |          0 |         33 |        133 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                                            | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\CHANGELOG.md                                                                                                          | Markdown           |          0 |          0 |          1 |          1 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\README.md                                                                                                             | Markdown           |          1 |          0 |          2 |          3 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\VSCode Snippets.json                                                                                                  | JSON               |         33 |          0 |         17 |         50 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\VSCodeSetup\Settings\keybindings.json                                                                                 | JSON               |         54 |          9 |         38 |        101 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\VSCodeSetup\Settings\settings.json                                                                                    | JSON               |         21 |          0 |         18 |         39 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\VSCodeSetup\setupCustomeSettings.sh                                                                                   | Shell Script       |         34 |          0 |         15 |         49 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DevCLI\Cargo\src\backup_menue.rs                                                                           | Rust               |        119 |          0 |         64 |        183 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DevCLI\Cargo\src\distributer_menue.rs                                                                      | Rust               |        313 |          6 |        149 |        468 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DevCLI\Cargo\src\main.rs                                                                                   | Rust               |        114 |          1 |         55 |        170 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DevCLI\Cargo\src\main_menue_printer.rs                                                                     | Rust               |         37 |          0 |         22 |         59 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DevCLI\Cargo\src\mongoDB_menue.rs                                                                          | Rust               |        103 |          0 |         38 |        141 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DevCLI\Cargo\src\synchronicer_menue.rs                                                                     | Rust               |        123 |          0 |         64 |        187 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DevCLI\Cargo\src\terminal_formatter.rs                                                                     | Rust               |         77 |          2 |         24 |        103 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DevCLI\startPatnicRoom.sh                                                                                  | Shell Script       |          1 |          0 |          0 |          1 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Bootstrap.json                                                                                   | JSON               |          5 |          0 |          3 |          8 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\GameData\Personal\T.json                                                                         | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\new_dynamicfont.tres                                                                       | Properties         |          5 |          0 |          3 |          8 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\options.tres                                                                               | Properties         |          8 |          0 |          2 |         10 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\presets\EffectButton\Condition.tres                                                        | Properties         |         12 |          0 |          2 |         14 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\presets\EffectButton\Statmod.tres                                                          | Properties         |         12 |          0 |          2 |         14 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\presets\IntegerInput.tres                                                                  | Properties         |          7 |          0 |          2 |          9 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\presets\StringInput.tres                                                                   | Properties         |          7 |          0 |          2 |          9 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\presets\alert.tres                                                                         | Properties         |          8 |          0 |          2 |         10 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\presets\backToMainManueButton.tres                                                         | Properties         |         12 |          0 |          2 |         14 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\presets\debugPanel\green.tres                                                              | Properties         |          8 |          0 |          2 |         10 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\presets\debugPanel\red.tres                                                                | Properties         |          8 |          0 |          2 |         10 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\presets\debugPanel\yellow.tres                                                             | Properties         |          8 |          0 |          2 |         10 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\presets\defualtEffectnput.tres                                                             | Properties         |          8 |          0 |          2 |         10 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\presets\formEffectDefualt.tres                                                             | Properties         |          6 |          0 |          3 |          9 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\presets\highlightedEffectInput.tres                                                        | Properties         |          8 |          0 |          2 |         10 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Media\presets\highlightedFormInput.tres                                                          | Properties         |          8 |          0 |          2 |         10 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Personal\[KIT] [BASE] .json                                                                      | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Backend\DataStructures\EffectCache.gd                                                        | GDScript           |         15 |          0 |          8 |         23 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Backend\DataStructures\FormFieldAttributes.gd                                                | GDScript           |         39 |          0 |         24 |         63 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Backend\DataStructures\PanelAttributes\GroupAttributes.gd                                    | GDScript           |         12 |          0 |          7 |         19 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Backend\DataStructures\PanelAttributes\OptionboxAttributes.gd                                | GDScript           |          7 |          0 |          5 |         12 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Backend\DataStructures\PanelAttributes\RTLAttributes.gd                                      | GDScript           |          7 |          0 |          5 |         12 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Backend\Parser\Dynamic SubParser\C_37.gd                                                     | GDScript           |         10 |          0 |          5 |         15 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Backend\Parser\Dynamic SubParser\Hub.gd                                                      | GDScript           |          5 |          0 |          3 |          8 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Backend\Parser\Parser.gd                                                                     | GDScript           |         41 |          0 |         30 |         71 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Backend\Parser\effect SubParser.gd                                                           | GDScript           |         48 |          0 |         27 |         75 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Backend\Validator\Validator.gd                                                               | GDScript           |         17 |          0 |         12 |         29 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Bootstrap.gd                                                                                 | GDScript           |          5 |          0 |          9 |         14 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Dynamic Generator\FormFiller.gd                                    | GDScript           |         41 |          0 |         30 |         71 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Dynamic Generator\FormLayouter.gd                                  | GDScript           |         36 |          0 |         28 |         64 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Actors\Form.gd                                               | GDScript           |          4 |          0 |         19 |         23 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Actors\Form.tscn                                             | Properties         |        171 |          0 |         28 |        199 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Effect\EffectButton.gd                                       | GDScript           |         30 |          0 |         28 |         58 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Effect\Form.gd                                               | GDScript           |         17 |          0 |         18 |         35 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Effect\Form.tscn                                             | Properties         |        268 |          0 |         34 |        302 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Effect\SlotInputs.tscn                                       | Properties         |        489 |          0 |         51 |        540 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Effect\SlotUnits\Effect.gd                                   | GDScript           |         42 |          0 |         19 |         61 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Effect\SlotUnits\Space.gd                                    | GDScript           |         26 |          0 |         19 |         45 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Effect\SlotUnits\Trigger.gd                                  | GDScript           |         41 |          0 |         28 |         69 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Effect\timeslotsManager.gd                                   | GDScript           |         23 |          0 |         17 |         40 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Gear\Items\Form.gd                                           | GDScript           |          1 |          0 |         11 |         12 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Gear\Items\Form.tscn                                         | Properties         |        171 |          0 |         31 |        202 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Kit\Form.gd                                                  | GDScript           |         12 |          0 |         16 |         28 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Kit\Form.tscn                                                | Properties         |        785 |          0 |        134 |        919 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Kit\choose kit to mod panel.gd                               | GDScript           |          9 |          1 |          7 |         17 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Forms\ParentForm.gd                                                | GDScript           |          6 |          0 |          7 |         13 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\Morphbox\universalMorphbox.gd         | GDScript           |         25 |          0 |         23 |         48 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\Morphbox\universalMorphboxScript.tscn | Properties         |         26 |          0 |          5 |         31 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\Panel\PanelInputHandler.gd            | GDScript           |         13 |          0 |         10 |         23 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\RTL\inputComponentRTL.gd              | GDScript           |         55 |          0 |         31 |         86 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\Slider\sliderScene.tscn               | Properties         |         42 |          0 |          8 |         50 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\Slider\sliderSkript.gd                | GDScript           |          5 |          0 |          4 |          9 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\dictionary\Dictionary.gd              | GDScript           |         44 |          0 |         33 |         77 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\dictionary\Dictionary.tscn            | Properties         |         60 |          0 |          9 |         69 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\dictionary\entry.gd                   | GDScript           |          5 |          0 |          5 |         10 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\dictionary\entry.tscn                 | Properties         |         46 |          0 |         15 |         61 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Input\Inputmodules effect\MorphBox\EffectMorphBoxScript.gd         | GDScript           |         44 |          0 |         29 |         73 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Input\Inputmodules effect\TextRTL\EffectRTLScript.gd               | GDScript           |         32 |          0 |         22 |         54 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Input\Inputmodules effect\TextRTL\RTLScene.tscn                    | Properties         |         26 |          0 |         10 |         36 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Rows\Button\Button.tscn                                            | Properties         |         72 |          0 |         16 |         88 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Rows\Optionbox\RowBoxScene.tscn                                    | Properties         |         89 |          0 |         28 |        117 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Rows\Optionbox\button.gd                                           | GDScript           |         37 |          0 |         32 |         69 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content creation\Rows\Text\RowTextScene.tscn                                        | Properties         |         78 |          0 |         12 |         90 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Frontend\content management\Browse\Browse.tscn                                               | Properties         |        280 |          0 |         39 |        319 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Main.tscn                                                                                    | Properties         |        219 |          0 |         26 |        245 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\MainMenu.gd                                                                                  | GDScript           |         20 |          0 |         16 |         36 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Single Scripts\CheckUp.gd                                                                    | GDScript           |         48 |          0 |         30 |         78 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Single Scripts\ENUM.gd                                                                       | GDScript           |         22 |          0 |          9 |         31 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Single Scripts\Syntax.gd                                                                     | GDScript           |         52 |          0 |         29 |         81 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Single Scripts\Util.gd                                                                       | GDScript           |         34 |          0 |         32 |         66 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Util\DataTypeHandler.gd                                                                      | GDScript           |         33 |          0 |         15 |         48 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Util\Filehandler.gd                                                                          | GDScript           |         22 |          0 |         17 |         39 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Util\InputHandler.gd                                                                         | GDScript           |          8 |          0 |         14 |         22 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\Src\Util\RowTypeHandler.gd                                                                       | GDScript           |         27 |          0 |         14 |         41 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\config\Forms\ActorRace.json                                                                      | JSON               |         22 |          0 |         13 |         35 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\config\Forms\ActorRole.json                                                                      | JSON               |         22 |          0 |         11 |         33 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\config\Forms\ActorSpecialty.json                                                                 | JSON               |         23 |          0 |         11 |         34 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\config\Forms\ItemsConsumables.json                                                               | JSON               |         20 |          0 |         14 |         34 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\config\Forms\KitAppendix.json                                                                    | JSON               |         25 |          0 |         13 |         38 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\config\Forms\KitBase.json                                                                        | JSON               |         26 |          0 |         14 |         40 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\config\Forms\KitMod.json                                                                         | JSON               |         25 |          0 |         13 |         38 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\config\ModulesReference.json                                                                     | JSON               |          6 |          0 |          5 |         11 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\config\SyntaxAtlas.json                                                                          | JSON               |         31 |          0 |         17 |         48 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\config\SyntaxIndex.json                                                                          | JSON               |         48 |          0 |         23 |         71 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\config\components.json                                                                           | JSON               |        541 |          0 |         51 |        592 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\foobar.json                                                                                      | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\mongoDB\test.py                                                                                  | Python             |          6 |          0 |          3 |          9 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\DioJSONes\project.godot                                                                                    | Properties         |        158 |          0 |         11 |        169 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Personal\[KIT] [BASE] .json                                                                       | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Races\Dwarf.json                                                          | JSON               |         23 |          0 |          8 |         31 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Races\Elf.json                                                            | JSON               |         23 |          0 |          8 |         31 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Races\Human.json                                                          | JSON               |         22 |          0 |          8 |         30 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Races\Orc.json                                                            | JSON               |         22 |          0 |          8 |         30 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Races\Troll.json                                                          | JSON               |         22 |          0 |          8 |         30 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Roles\Arsenist_1.json                                                     | JSON               |         25 |          0 |          8 |         33 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Roles\Brawler_1.json                                                      | JSON               |         25 |          0 |          7 |         32 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Roles\Gunslinger_1.json                                                   | JSON               |         25 |          0 |          8 |         33 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Roles\Hacker_1.json                                                       | JSON               |         25 |          0 |          7 |         32 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Roles\Infobroker_1.json                                                   | JSON               |         25 |          0 |          8 |         33 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Roles\Spellcaster_1.json                                                  | JSON               |         25 |          0 |          7 |         32 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Specialties\Drug dealer.json                                              | JSON               |         23 |          0 |          8 |         31 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Specialties\bottle collector.json                                         | JSON               |         23 |          0 |          8 |         31 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Specialties\esoteric conartist.json                                       | JSON               |         23 |          0 |          8 |         31 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Specialties\fecal analycer.json                                           | JSON               |         23 |          0 |          8 |         31 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Actor_Attributes\Specialties\freelancer hobo.json                                          | JSON               |         23 |          0 |          8 |         31 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Kits\Magic\Infusion\Base\4th Wallbreak.json                                                | JSON               |         45 |          0 |         20 |         65 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Kits\Magic\Spell\Base\Earthwall.json                                                       | JSON               |         42 |          0 |         21 |         63 |
| c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition\Workspaces\GameData\Stable\Kits\Magic\Spell\Base\crispyfier.json                                                      | JSON               |         44 |          0 |         20 |         64 |
